t0,exact_stratum,probability_scale_caliper,n_treated_in_stratum,n_controls_in_stratum,dense_assignment_entries,candidate_real_edges,candidate_edges_plus_dummies,dense_entry_cap,requires_sparse_solver,sparse_edge_cap,would_fail_current_matcher,treated_pscore_min,treated_pscore_max,control_pscore_min,control_pscore_max
2012,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,2391,723703,1736090754,54715054,54717445,5000000,True,100000000,False,0.0006927659151193616,0.3070996972182131,1e-06,0.33678607422926565
2012,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1514,464186,705069800,17336261,17337775,5000000,True,100000000,False,0.0010529251056934274,0.363287033198051,1e-06,0.3620021392934399
2012,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,2338,672189,1577044126,54334708,54337046,5000000,True,100000000,False,0.0005948826634411116,0.33049673188044154,1e-06,0.3357279494123356
2012,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,594,464057,276002694,1407316,1407910,5000000,True,100000000,False,0.0021787980162215857,0.3697734882507134,1e-06,0.36066419483678713
2012,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1116,478861,535654332,9178536,9179652,5000000,True,100000000,False,0.0014898681706303173,0.3760472594211771,1e-06,0.3693216394893049
2012,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1994,647356,1294803900,35098014,35100008,5000000,True,100000000,False,0.0010636351416457085,0.3118846126121463,1e-06,0.3316354768682415
2012,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,447,496583,222172410,73467645,73468092,5000000,True,100000000,False,0.0001672938601267186,0.26616398533282565,1e-06,0.2921881175512981
2012,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,624,533089,333036912,32842867,32843491,5000000,True,100000000,False,0.00041043079437613506,0.26038958923837197,1e-06,0.4580003042511009
2012,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1171,494369,580277340,9230303,9231474,5000000,True,100000000,False,0.0006925446642657298,0.31391730802630174,1e-06,0.3582723711850694
2012,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,926,551030,511111256,49798424,49799350,5000000,True,100000000,False,0.00035021720361102507,0.2790375965093771,1e-06,0.28205697860102885
2012,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,2315,600226,1394882415,35472274,35474589,5000000,True,100000000,False,0.0009307870357992869,0.31729850418019273,1e-06,0.345173539503456
2012,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,2027,652054,1325822187,84395815,84397842,5000000,True,100000000,False,0.00041435103989992416,0.303302481990612,1e-06,0.30476416141540114
2012,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1533,614000,943612089,47680761,47682294,5000000,True,100000000,False,0.0006391313761707316,0.3222441087832291,1e-06,0.3110611071316342
2012,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,145,410265,59509450,57015275,57015420,5000000,True,100000000,False,0.00017619125279444824,0.10369358338866588,1e-06,0.1486543601194089
2012,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,704,499128,351881728,6144127,6144831,5000000,True,100000000,False,0.0015275790815102994,0.3487117237780898,1e-06,0.3760128346217785
2012,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,252,401030,101123064,98612694,98612946,5000000,True,100000000,False,7.154288018675538e-05,0.10580994653522131,1e-06,0.17625671033431414
2012,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,108,8047,880740,28254,28362,5000000,False,100000000,False,0.0069367506676549,0.49414474600621444,1e-06,0.48405491023995073
2012,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,293,492960,144523129,65989446,65989739,5000000,True,100000000,False,0.0002822233243355082,0.23977593733852523,1e-06,0.2632798242522993
2012,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,108,7778,851688,5434,5542,5000000,False,100000000,False,0.01166681173915543,0.4798255014449731,1e-06,0.5082895476292197
2012,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,58,9403,548738,29116,29174,5000000,False,100000000,False,0.004899258560215585,0.4267553981729079,1e-06,0.4851265406937038
2012,"{""lag1_age_band"": ""20-24"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,106,422915,44840226,41901,42007,5000000,True,100000000,False,0.05487704482638672,0.31238709187974595,1e-06,0.39552578809162287
2012,"{""lag1_age_band"": ""70-74"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,114,449031,51202530,51174856,51174970,5000000,True,100000000,False,0.00013201188412272915,0.002046195279740338,1e-06,0.11210467968915701
2012,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,65,4967,327080,6790,6855,5000000,False,100000000,False,0.008988073603054477,0.5189471499779944,1e-06,0.5316790570992967
2012,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,26,2387,62738,287,313,5000000,False,100000000,False,0.11296268741695857,0.5202790375660764,1e-06,0.5241373438448508
2012,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,252,484002,122032008,1670592,1670844,5000000,True,100000000,False,0.0026300754841114206,0.30405084662755016,1e-06,0.3874828259431418
2012,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,52,2785,147524,3816,3868,5000000,False,100000000,False,0.003979354482349139,0.5520638542314974,1e-06,0.5091771011923999
2012,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,28,2111,59892,2208,2236,5000000,False,100000000,False,0.002111179044726084,0.5122310824055378,1e-06,0.5265477950094014
2012,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,45,9983,451260,30903,30948,5000000,False,100000000,False,0.0029628481428751554,0.3976412170981114,1e-06,0.4182508388967347
2012,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,36,2641,96372,648,684,5000000,False,100000000,False,0.04480406342310588,0.5388084712875547,1e-06,0.5387722320340924
2012,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,89,9503,853688,30286,30375,5000000,False,100000000,False,0.0063120601258348915,0.465490529527815,1e-06,0.4926985783765652
2012,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,78,4910,389064,7602,7680,5000000,False,100000000,False,0.007834110045605275,0.49504989762890983,1e-06,0.5240090915763371
2012,"{""lag1_age_band"": ""75-79"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,31,289233,8967184,8964338,8964369,5000000,True,100000000,False,0.00014993780391475773,0.0008667653171493889,1e-06,0.13508090526673913
2012,"{""lag1_age_band"": ""70-74"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,57,495182,28228623,28223198,28223255,5000000,True,100000000,False,0.0001779786671708031,0.0012401551795579709,1e-06,0.11496326632814494
2012,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,18,6736,121572,6735,6753,5000000,False,100000000,False,0.004677844504477511,0.43218084478839275,1e-06,0.4263503719350941
2012,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,25,8983,225200,17916,17941,5000000,False,100000000,False,0.0031066170115824836,0.450522071200003,1e-06,0.468722064911511
2012,"{""lag1_age_band"": ""80-84"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,3,260400,781209,781191,781194,5000000,False,100000000,False,0.00015697978238479144,0.00043729851878849006,1e-06,0.06516590597720463
2012,"{""lag1_age_band"": ""75-79"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,15,356227,5343630,5343195,5343210,5000000,True,100000000,False,0.00023460512152477235,0.0009345125311696337,1e-06,0.06628531731645466
2012,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,7,1465,10304,41,48,5000000,False,100000000,False,0.21443094967779697,0.30947610321801466,1e-06,0.5301918269271463
2012,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,1,2206,2207,2187,2188,5000000,False,100000000,False,0.0009139602560525793,0.0009139602560525793,1e-06,0.18896918593720166
2012,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,8,5154,41296,20401,20409,5000000,False,100000000,False,0.0011091590838433227,0.4275741085060956,1e-06,0.41276303008581866
